WWPN,Port
20:02:21:25:b5:a0:91:01,srv1-hbaA0
20:02:21:25:b5:a1:91:01,srv1-hbaA1
20:02:21:25:b5:a0:91:02,srv2-hbaA0
20:02:21:25:b5:a1:91:02,srv2-hbaA1
20:02:22:25:b5:a0:91:01,srv3-hbaA0
20:02:22:25:b5:a1:91:01,srv3-hbaA1
20:02:22:25:b5:a0:91:02,srv4-hbaA0
20:02:22:25:b5:a1:91:02,srv4-hbaA1
20:02:23:25:b5:a0:91:01,srv5-hbaA0
20:02:23:25:b5:a1:91:01,srv5-hbaA1
20:02:23:25:b5:a0:91:02,srv6-hbaA0
20:02:23:25:b5:a1:91:02,srv6-hbaA1
20:02:24:25:b5:a0:91:01,srv7-hbaA0
20:02:24:25:b5:a1:91:01,srv7-hbaA1
20:02:24:25:b5:a0:91:02,srv8-hbaA0
20:02:24:25:b5:a1:91:02,srv8-hbaA1
